"","band","captureyear","month","birthyear","actualage","agegroup","CP","BP","loc","station","freq"
"88",152106547,1996,6,0,-1,"A",0,1,"JEFF","AR31",1
"89",152106548,1996,6,0,-1,"A",0,1,"JEFF","AR31",1
"90",152106548,1996,6,0,-1,"A",0,2,"JEFF","AR31",1
"91",152106552,1996,6,0,-1,"A",0,1,"JEFF","AR31",1
"92",152106558,1996,6,0,-1,"A",0,4,"JEFF","AR64",1
"93",152106561,1996,7,0,-1,"A",0,3,"JEFF","AR64",1
"94",152106569,1996,7,0,-1,"A",1,0,"JEFF","AR54",1
"95",152106571,1996,5,0,-1,"A",2,0,"JEFF","AR31",1
"96",152106571,1996,7,0,-1,"A",NA,NA,"JEFF","AR31",1
"97",152106572,1996,7,0,-1,"A",0,4,"JEFF","AR54",1
"98",152106580,1996,8,1996,0,"J",0,0,"JEFF","AR31",1
"99",152106590,1996,8,1996,0,"J",0,0,"JEFF","AR31",1
"100",152106604,1994,6,0,-1,"A",2,0,"KNOX","CEDA",1
"101",152106605,1994,6,0,-1,"A",2,0,"KNOX","CEDA",1
"102",152106610,1994,6,0,-1,"A",2,0,"KNOX","DULA",1
"103",152106612,1994,6,0,-1,"A",0,1,"KNOX","DULA",1
"104",152106615,1994,6,0,-1,"A",0,3,"KNOX","CEDA",1
"105",152106625,1994,6,0,-1,"A",1,0,"KNOX","DULA",1
"106",152106627,1994,6,1994,0,"J",0,0,"KNOX","DULA",1
"107",152106627,1995,6,1994,1,"A",NA,NA,"KNOX","DULA",1
"108",152106628,1994,6,0,-1,"A",2,0,"KNOX","CEDA",1
"109",152106629,1994,6,0,-1,"A",0,3,"KNOX","CEDA",1
"110",152106629,1995,6,0,-1,"A",0,3,"KNOX","CEDA",1
"111",152106630,1994,6,0,-1,"A",0,2,"KNOX","CEDA",1
"112",152106632,1994,6,1994,0,"J",0,0,"KNOX","DULA",1
"113",152106637,1994,7,0,-1,"A",0,0,"KNOX","DULA",1
"114",152106637,1995,5,0,-1,"A",2,0,"KNOX","DULA",1
"115",152106638,1994,7,0,-1,"A",0,1,"KNOX","CEDA",1
"116",152106638,1996,5,0,-1,"A",0,NA,"KNOX","CEDA",1
"117",152106638,1996,6,0,-1,"A",0,4,"KNOX","CEDA",1
"118",152106640,1994,7,0,-1,"A",NA,NA,"KNOX","CEDA",1
"119",152106659,1995,5,0,-1,"A",2,0,"KNOX","CEDA",1
"120",152106665,1995,5,0,-1,"A",2,0,"KNOX","CEDA",1
"121",152106665,1995,6,0,-1,"A",2,0,"KNOX","CEDA",1
"122",152106666,1995,5,0,-1,"A",2,0,"KNOX","CEDA",1
"123",152106667,1995,5,0,-1,"A",0,0,"KNOX","DULA",1
"124",152106672,1995,6,0,-1,"A",0,3,"KNOX","CEDA",1
"125",152106673,1995,6,0,-1,"A",0,4,"KNOX","OHRI",1
"126",152106674,1995,6,0,-1,"A",3,0,"KNOX","OHRI",1
"127",152106675,1995,6,0,-1,"A",0,3,"KNOX","OHRI",1
"128",152106678,1995,6,0,-1,"A",3,0,"KNOX","DULA",1
"129",152106679,1995,6,0,-1,"A",0,4,"KNOX","DULA",1
"130",152106680,1995,6,0,-1,"A",3,0,"KNOX","SARI",1
"131",152106685,1995,6,0,-1,"A",2,0,"KNOX","CEDA",1
"132",152106696,1995,6,0,-1,"A",0,4,"KNOX","SARI",1
"133",152106717,1996,5,0,-1,"A",0,0,"KNOX","DULA",1
"134",152106717,1996,6,0,-1,"A",0,0,"KNOX","DULA",1
"135",152106720,1996,5,0,-1,"A",0,0,"KNOX","DULA",1
"136",152106720,1996,6,0,-1,"A",0,0,"KNOX","DULA",1
"137",152106721,1996,5,0,-1,"A",0,1,"KNOX","DULA",1
"138",152106734,1996,6,0,-1,"A",0,0,"KNOX","DULA",1
"139",152106735,1996,6,0,-1,"A",0,0,"KNOX","DULA",1
"140",152106735,1996,7,0,-1,"A",0,0,"KNOX","DULA",1
"141",152106739,1996,6,0,-1,"A",1,0,"KNOX","DULA",1
"142",152106744,1996,6,0,-1,"A",0,0,"KNOX","SARI",1
"143",152106752,1996,6,0,-1,"A",1,0,"KNOX","CEDA",1
"144",152106753,1996,6,0,-1,"A",0,3,"KNOX","DULA",1
"145",152106753,1997,6,0,-1,"A",0,4,"KNOX","DULA",1
"146",152106754,1996,6,0,-1,"A",0,0,"KNOX","DULA",1
"147",152106765,1996,6,0,-1,"A",0,4,"KNOX","CEDA",1
"148",152106766,1996,7,0,-1,"A",0,4,"KNOX","DULA",1
"149",152106784,1997,5,0,-1,"A",0,0,"KNOX","CEDA",1
"150",152106786,1997,5,0,-1,"A",0,2,"KNOX","CEDA",1
"151",152106786,1997,6,0,-1,"A",0,3,"KNOX","CEDA",1
"152",152106810,1994,6,0,-1,"A",1,0,"CRAN","SULP",1
"153",152106810,1997,7,0,-1,"A",2,0,"CRAN","SULP",1
"154",152106811,1994,6,0,-1,"A",0,2,"CRAN","SULP",1
"155",152106815,1994,6,0,-1,"A",1,0,"CRAN","WICE",1
"156",152106816,1994,6,0,-1,"A",0,0,"CRAN","EABO",1
"157",152106817,1994,6,0,-1,"A",0,3,"CRAN","EABO",1
"158",152106821,1994,6,0,-1,"A",1,0,"CRAN","SULP",1
"159",152106823,1994,6,0,-1,"A",0,0,"CRAN","WICE",1
"160",152106824,1994,6,0,-1,"A",0,0,"CRAN","WICE",1
"161",152106824,1994,7,0,-1,"A",0,0,"CRAN","WICE",1
"162",152106825,1994,6,0,-1,"A",2,0,"CRAN","WICE",1
"163",152106826,1994,6,0,-1,"A",0,2,"CRAN","EABO",1
"164",152106827,1994,6,0,-1,"A",0,4,"CRAN","FIRS",1
"165",152106833,1994,6,0,-1,"A",0,4,"CRAN","WICE",1
"166",152106834,1994,6,0,-1,"A",1,0,"CRAN","WICE",1
"167",152106835,1994,6,1994,0,"J",0,0,"CRAN","WICE",1
"168",152106836,1994,6,0,-1,"A",0,3,"CRAN","WICE",1
"169",152106837,1994,6,0,-1,"A",1,0,"CRAN","EABO",1
"170",152106838,1994,6,0,-1,"A",1,0,"CRAN","EABO",1
"171",152106840,1994,6,0,-1,"A",0,3,"CRAN","EABO",1
"172",152106841,1994,6,0,-1,"A",1,0,"CRAN","FIRS",1
"173",152106849,1994,7,0,-1,"A",0,4,"CRAN","EABO",1
"174",152106855,1994,7,1994,0,"J",0,0,"CRAN","SULP",1
"175",152106857,1994,7,0,-1,"A",0,4,"CRAN","SULP",1
"176",152106874,1994,8,0,-1,"A",0,0,"CRAN","SULP",1
"177",152106886,1995,6,0,-1,"A",0,3,"CRAN","EABO",1
"178",152106887,1995,6,0,-1,"A",3,0,"CRAN","EABO",1
"179",152106888,1995,6,0,-1,"A",1,0,"CRAN","SULP",1
"180",152106888,1995,6,0,-1,"A",2,0,"CRAN","SULP",1
"181",152106888,1995,7,0,-1,"A",1,0,"CRAN","SULP",1
"182",152106889,1995,6,0,-1,"A",0,3,"CRAN","SULP",1
"183",152106890,1995,6,0,-1,"A",1,0,"CRAN","SULP",1
"184",152106892,1995,6,0,-1,"A",2,0,"CRAN","SULP",1
"185",152106893,1995,6,0,-1,"A",2,0,"CRAN","SULP",1
"186",152106894,1995,6,0,-1,"A",0,4,"CRAN","SULP",1
"187",152106900,1995,6,0,-1,"A",3,0,"CRAN","WICE",1
"188",152106914,1995,6,0,-1,"A",2,0,"CRAN","WICE",1
"189",152106915,1995,6,0,-1,"A",2,0,"CRAN","EABO",1
"190",152106915,1995,7,0,-1,"A",1,0,"CRAN","EABO",1
"191",152106917,1995,6,0,-1,"A",0,2,"CRAN","EABO",1
"192",152106917,1995,8,0,-1,"A",0,5,"CRAN","EABO",1
"193",152106918,1995,6,0,-1,"A",1,0,"CRAN","SULP",1
"194",152106921,1995,7,1995,0,"J",0,0,"CRAN","SULP",1
"195",152106922,1995,7,0,-1,"A",1,0,"CRAN","SULP",1
"196",152106923,1995,7,0,-1,"A",2,0,"CRAN","SULP",1
