loc,pop
ASRP,1
ATON,2
AUDU,3
BBBO,4
BBBS,5
BMNC,6
BRAG,7
BUCK,8
CAHI,9
CASP,10
CBWP,11
CLDC,12
CMAC,13
CONG,14
CRAN,15
DCVT,16
DIVI,17
FERN,18
FIVE,19
FOXF,20
FTSL,21
GIFA,22
GRSM,23
HEBR,24
HOLL,25
HOOD,26
HOPE,27
ICHA,28
JEFF,29
KNIS,30
KNOX,31
KSMA,32
LAHO,33
LDWF,34
LNER,35
MARV,36
MBBS,37
MIDW,38
MOWO,39
MUIS,40
NUBA,41
POCO,42
POWD,43
PULS,44
RILE,45
SPAL,46
SSNC,47
SWIF,48
TCFS,49
TESS,50
TRAC,51
WASS,52
WAWO,53
WING,54
